name,salary_from,salary_to,salary_currency,area_name,published_at
Начинающий программист со знанием языков Javascript / С#,,,,Нижний Новгород,2022-12-02T11:19:57+0300
Руководитель проекта,80000.0,,RUR,Ярославль,2022-12-02T07:26:04+0300
Помощник системного администратора,60000.0,75000.0,RUR,Москва,2022-12-02T11:14:10+0300
Инженер по обслуживанию ОПС (Охранно-пожарной сигнализации),70000.0,,RUR,Киров (Кировская область),2022-12-02T08:12:47+0300
Моушн дизайнер,,,,Алматы,2022-12-02T06:49:23+0300
QA engineer (ecommerce),,,,Москва,2022-12-02T09:03:05+0300
QA engineer (ecommerce),,,,Санкт-Петербург,2022-12-02T09:03:05+0300
Computer Vision Engineer (Стажер),,,,Казань,2022-12-02T10:44:00+0300
Оператор ПК (по работе на компьютере),,,,Ташкент,2022-12-02T10:06:10+0300
Разработчик Frontend в Yandex Cloud,,,,Москва,2022-12-02T10:35:20+0300
Java developer,,,,Москва,2022-12-02T10:13:27+0300
Junior Data Scientist (Стажер),,,,Красноярск,2022-12-02T09:26:22+0300
Журналист (DayNews.uz),3000000.0,5000000.0,UZS,Ташкент,2022-12-02T09:39:54+0300
QA инженер,,,,Санкт-Петербург,2022-12-02T11:39:22+0300
Junior Data Scientist (Стажер),,,,Екатеринбург,2022-12-02T09:26:22+0300
Контент-менеджер (направление маркетплейсы),,,,Оренбург,2022-12-02T11:57:52+0300
Web-разработчик,60000.0,100000.0,RUR,Ставрополь,2022-12-02T09:56:06+0300
"Оператор станка с ЧПУ (дерево, мебель)",80000.0,120000.0,RUR,Москва,2022-12-02T08:11:52+0300
Дизайнер интерьеров,500000.0,800000.0,KZT,Алматы,2022-12-02T07:34:38+0300
Менеджер по продукту / Product Manager,,,,Москва,2022-12-02T11:56:05+0300
Специалист по аналитике,,,,Алматы,2022-12-02T08:56:03+0300
Data Scientist,,,,Томск,2022-12-02T10:25:16+0300
Ведущий системный администратор,80000.0,,RUR,Пенза,2022-12-02T10:15:57+0300
Front-end разработчик / Веб-программист,50000.0,,RUR,Тюмень,2022-12-02T07:20:40+0300
Computer Vision Engineer (Стажер),,,,Санкт-Петербург,2022-12-02T10:44:00+0300
Графический дизайнер,35000.0,50000.0,RUR,Кемерово,2022-12-02T07:33:45+0300
Монтажник слаботочных систем,60000.0,80000.0,RUR,Уфа,2022-12-02T11:47:21+0300
Data Scientist,,,,Екатеринбург,2022-12-02T09:52:36+0300
Аналитик,,,,Алматы,2022-12-02T11:23:13+0300
Инженер-электронщик,70000.0,,RUR,Воронеж,2022-12-02T09:57:05+0300
IOS разработчик,,,,Алматы,2022-12-02T07:40:58+0300
"Scala-разработчик (Java, C#, Ruby)",,,,Казань,2022-12-02T10:17:00+0300
Аналитик (Продуктовый аналитик),,,,Пермь,2022-12-02T10:13:30+0300
